764, 59.24, 3, 1996, 25000
764, 59.24, 4, 1996, 25000
764, 84.9, 18, 1999, 43000
764, 114.24, 7, 1999, 44700
764, 84.86, 14, 1999, 38000
764, 84.978, 8, 2005, 42450
764, 134.97, 23, 1997, 47000
764, 84.6, 21, 1997, 46800
764, 134.97, 8, 1997, 54000
764, 59.82, 24, 1998, 32500
764, 84.6, 13, 1998, 43500
764, 59.67, 6, 1989, 29300
764, 84.91, 14, 1989, 36000
764, 59.22, 11, 2000, 29200
764, 114.81, 21, 2000, 43000
764, 59.4, 2, 1995, 24000
764, 84.99, 12, 1995, 34200
764, 84.99, 9, 1995, 36700
764, 84.99, 4, 1995, 35500
764, 59.4, 6, 1995, 24000
764, 116.46, 2, 2000, 51200
764, 59.39, 3, 1988, 26000
764, 49.94, 5, 1988, 25900
764, 41.3, 15, 1988, 22000
764, 58.01, 4, 1988, 27800
764, 32.39, 10, 1988, 19000
764, 59.28, 15, 1988, 27700
764, 68.86, 2, 1988, 38500
764, 68.86, 9, 1988, 37500
764, 49.94, 11, 1988, 29000
764, 58.01, 7, 1988, 34000
764, 58.01, 13, 1988, 33700
764, 49.94, 11, 1988, 30000
764, 58.01, 2, 1988, 32700
764, 59.28, 12, 1988, 34700
764, 45.9, 2, 1988, 22800
764, 60.5, 8, 1988, 30000
764, 59.28, 11, 1988, 30450
764, 68.86, 8, 1988, 39400
764, 59.28, 5, 1988, 29500
764, 49.94, 8, 1988, 28300
764, 49.94, 12, 1988, 25400
764, 41.3, 4, 1988, 21800
764, 41.3, 8, 1988, 22900
764, 49.94, 6, 1988, 26200
764, 49.94, 3, 1988, 27900
764, 49.94, 9, 1988, 28250
764, 49.94, 1, 1989, 21500
764, 45.55, 5, 1989, 20500
764, 45.55, 8, 1989, 19500
764, 45.9, 5, 1989, 20500
764, 45.9, 12, 1989, 21000
764, 49.94, 9, 1989, 26700
764, 49.94, 5, 1989, 27370
764, 49.94, 2, 1989, 26400
764, 41.3, 11, 1989, 21200
764, 41.3, 10, 1989, 21500
764, 41.3, 13, 1989, 20000
764, 45.55, 15, 1989, 20000
764, 45.55, 14, 1989, 20000
764, 84.41, 5, 1989, 39500
764, 45.77, 6, 1988, 22500
764, 45.77, 3, 1988, 22000
764, 59.39, 15, 1988, 29700
764, 59.39, 6, 1988, 28600
764, 59.39, 14, 1988, 28500
764, 79.07, 11, 1988, 40000
764, 59.39, 11, 1988, 29500
764, 68.86, 14, 1987, 35500
764, 32.39, 1, 1987, 16700
764, 58.01, 6, 1987, 33250
764, 37.46, 4, 1987, 22500
764, 68.86, 8, 1987, 33500
764, 58.01, 11, 1987, 32000
764, 58.01, 7, 1987, 32300
764, 37.46, 9, 1987, 21700
764, 60.5, 2, 1987, 29500
764, 59.18, 4, 1987, 30250
764, 46.04, 1, 1987, 24000
764, 59.28, 15, 1987, 33300
764, 58.01, 12, 1987, 33700
764, 59.2, 15, 1987, 30800
764, 84.2, 11, 1987, 48700
764, 84.38, 11, 1987, 45000
764, 37.46, 9, 1987, 25800
764, 84.2, 14, 1987, 45900
764, 58.01, 8, 1987, 34000
764, 49.94, 12, 1988, 28000
764, 37.46, 5, 1988, 23550
764, 32.39, 11, 1988, 19200
764, 32.39, 14, 1988, 18700
764, 31.98, 4, 1987, 26100
764, 31.98, 4, 1987, 25900
764, 31.98, 2, 1987, 25800
764, 31.98, 3, 1987, 25500
764, 31.98, 5, 1987, 25100
764, 31.98, 2, 1987, 24800
764, 31.98, 2, 1987, 25500
764, 38, 9, 1988, 24500
764, 59.2, 15, 1988, 29500
764, 58.01, 4, 1988, 32500
764, 58.01, 5, 1988, 31200
764, 59.2, 5, 1988, 32400
764, 41.3, 9, 1988, 26000
764, 32.39, 10, 1988, 19500
764, 58.01, 2, 1988, 30300
764, 58.01, 5, 1988, 35000
764, 58.01, 1, 1988, 30000
764, 59.39, 12, 1988, 35900
764, 49.94, 11, 1988, 35000
764, 49.94, 3, 1988, 34500
764, 45.55, 2, 1988, 29300
764, 49.94, 3, 1988, 32000
764, 45.55, 9, 1988, 28400
764, 49.94, 2, 1988, 34400
764, 79.07, 15, 1988, 49000
764, 45.77, 9, 1988, 25900
764, 41.3, 3, 1988, 29900
764, 31.95, 3, 1988, 24500
764, 31.95, 2, 1988, 24350
764, 31.95, 1, 1988, 24500
764, 31.95, 2, 1988, 24300
764, 31.95, 4, 1988, 24400
764, 31.95, 1, 1988, 24500
764, 31.95, 2, 1988, 24450
764, 49.94, 5, 1988, 26200
764, 79.07, 15, 1988, 37500
764, 66.56, 4, 1988, 36000
764, 41.3, 13, 1988, 23800
764, 41.3, 4, 1988, 20800
764, 45.55, 1, 1988, 19000
764, 49.94, 13, 1988, 27500
764, 49.94, 3, 1988, 28000
764, 83.92, 8, 1993, 34000
764, 84.96, 4, 1999, 34500
764, 84.96, 10, 1999, 35000
764, 53.656, 9, 2002, 25950
764, 59.93, 7, 1999, 26700
764, 84.69, 6, 2009, 41000
764, 84.69, 5, 2009, 39800
